"filename", "language", "JSON with Comments", "TypeScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 12, 69
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NoteStore.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 11, 58
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\ProjectStore.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 3, 18, 112
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\TodoStore.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 13, 63
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\UserStore.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 14, 97
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Date.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\GeneralFunctions.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\Router.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\RouterLogic.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 8, 84
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\TsTypes.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 2, 3, 24
"Total", "-", 19, 2164, 1025, 1, 986, 18, 47, 558, 4818
